best_train_acc,best_train_auc,best_train_loss,best_dev_acc,best_dev_auc,best_dev_loss,size_alphabet,num_states,num_accept_states,epochs,lstm_out_dim
0.9998,1.0,0.00839343760162592,0.6988,0.7795318496245607,1.401493787765503,5,15,2,200,60
0.9982,0.9999993599737845,0.008779076859354973,0.8354,0.8953470734161271,0.8658885955810547,5,15,2,200,60
0.9986,0.99999503979683,0.01252416055649519,0.7094,0.7811850373391295,1.520415186882019,5,15,2,200,60
0.9988,0.9998169370365818,0.007135688792914152,0.8636,0.9148622003144075,0.7142899036407471,5,16,2,200,60
0.9996,1.0,0.011275318451225758,0.7428,0.8205522424549625,1.2376134395599365,5,16,2,200,60
0.9992,1.0,0.010855743661522865,0.664,0.7306411061420404,1.5173052549362183,5,16,2,200,60
0.9998,1.0,0.0071567511186003685,0.6922,0.766394887883652,1.7140703201293945,5,17,2,200,60
0.9994,1.0,0.009780645370483398,0.6434,0.6913397590531093,1.8689918518066406,5,17,2,200,60
0.999,1.0,0.01175426784902811,0.795,0.8609273075526741,0.9503178000450134,5,17,2,200,60
0.9986,0.9999299198990846,0.010346226394176483,0.6932,0.7707037498133997,1.6086351871490479,5,18,2,200,60
0.9992,1.0,0.00645541911944747,0.7634,0.8332909560945136,1.1933506727218628,5,18,2,200,60
0.9996,0.9999579139396073,0.011340356431901455,0.7504,0.8197595653774145,1.1535170078277588,5,18,2,200,60
0.9988,1.0,0.012814952060580254,0.707,0.7712718413978494,1.4735585451126099,5,19,2,200,60
0.9998,0.999999679803066,0.008682355284690857,0.6416,0.697161101964152,1.9984769821166992,5,19,2,200,60
0.9994,1.0,0.007204398512840271,0.7782,0.8655187939320281,1.148014783859253,5,19,2,200,60
0.9998,1.0,0.007232233416289091,0.7586,0.8376829093381808,1.211686372756958,5,20,2,200,60
0.9996,1.0,0.006972248665988445,0.756,0.8225176198283529,1.1961740255355835,5,20,2,200,60
1.0,1.0,0.008432471193373203,0.6596,0.7303271467374608,1.6500812768936157,5,20,2,200,60
1.0,1.0,0.012045520357787609,0.6732,0.7378418780547004,1.4426312446594238,6,15,2,200,60
0.999,0.9999990398795625,0.015359558165073395,0.745,0.8088485819661217,1.134845495223999,6,15,2,200,60
0.9998,1.0,0.014296158216893673,0.6456,0.7087818751275005,1.4781919717788696,6,15,2,200,60
0.9992,0.999999519969278,0.01924428902566433,0.7182,0.8015753008192524,1.213217854499817,6,16,2,200,60
0.999,1.0,0.017384156584739685,0.7432,0.834071192619679,1.0400056838989258,6,16,2,200,60
1.0,1.0,0.007540780585259199,0.7576,0.8312865713911837,1.1883769035339355,6,16,2,200,60
0.9998,0.9999995199987711,0.004712430760264397,0.7124,0.7859515320359219,1.453245759010315,6,17,2,200,60
0.9962,0.999947356959338,0.033843666315078735,0.63,0.6928136969191341,1.643878698348999,6,17,2,200,60
0.9986,1.0,0.012651805765926838,0.739,0.8018014407109569,1.1771063804626465,6,17,2,200,60
1.0,1.0,0.014139333739876747,0.7548,0.8408247197350405,1.0755022764205933,6,18,2,200,60
0.998,0.999972477463523,0.017402149736881256,0.7532,0.8329903683923511,1.0048528909683228,6,18,2,200,60
0.9994,1.0,0.011768687516450882,0.729,0.8093536266239985,1.1650171279907227,6,18,2,200,60
0.9998,0.9999998399526516,0.010647843591868877,0.7512,0.8311785358580482,1.1540945768356323,6,19,2,200,60
0.997,0.9999545578987572,0.02128957398235798,0.7434,0.8272688129099088,1.0814974308013916,6,19,2,200,60
0.9996,1.0,0.007975921966135502,0.727,0.8049514308192177,1.3383479118347168,6,19,2,200,60
0.9974,0.9999819184695793,0.01733837090432644,0.788,0.8574296128424309,0.8968892693519592,6,20,2,200,60
0.999,1.0,0.013671821914613247,0.6852,0.7611348291882433,1.4827799797058105,6,20,2,200,60
1.0,1.0,0.013763044960796833,0.6664,0.731049507871685,1.5091218948364258,6,20,2,200,60
0.9998,0.9999836799582207,0.0048193419352173805,0.738,0.8227309061911199,1.2735683917999268,7,15,2,200,60
0.9998,1.0,0.008064503781497478,0.727,0.8090146049810312,1.1816658973693848,7,15,2,200,60
1.0,1.0,0.00956025067716837,0.7402,0.8214342401777719,1.1480942964553833,7,15,2,200,60
0.9994,0.9999996799899645,0.008253435604274273,0.7022,0.7685107404968221,1.495736837387085,7,16,2,200,60
0.9998,1.0,0.011047170497477055,0.7146,0.7906071358170708,1.2684720754623413,7,16,2,200,60
0.9998,0.9999998399753947,0.01230726670473814,0.6636,0.7324170164404479,1.6028109788894653,7,16,2,200,60
0.9998,1.0,0.003865573788061738,0.6854,0.7718478229738527,1.6907556056976318,7,17,2,200,60
0.9992,0.9999401549347137,0.013423620723187923,0.642,0.7144388701059656,1.7061718702316284,7,17,2,200,60
0.9998,1.0,0.006019557360559702,0.6902,0.7541335009434469,1.5117741823196411,7,17,2,200,60
0.9996,1.0,0.007694494444876909,0.7122,0.7828269179166845,1.4165244102478027,7,18,2,200,60
0.9996,1.0,0.009015589021146297,0.7308,0.8026987167886642,1.2565065622329712,7,18,2,200,60
0.9996,1.0,0.015568802133202553,0.6198,0.66634488,1.620565414428711,7,18,2,200,60
0.9998,1.0,0.01096146460622549,0.586,0.6280573678268617,2.033140182495117,7,19,2,200,60
0.9986,0.9999964786472372,0.01716073974967003,0.6318,0.6900519703649355,1.7095415592193604,7,19,2,200,60
1.0,1.0,0.00964202731847763,0.7456,0.8252834302220929,1.224045753479004,7,19,2,200,60
0.9992,1.0,0.014742370694875717,0.6418,0.7026536751736339,1.508792519569397,7,20,2,200,60
0.9996,1.0,0.01663941703736782,0.6166,0.6693992271038763,1.7579072713851929,7,20,2,200,60
1.0,1.0,0.009732033126056194,0.651,0.7185809452353968,1.6269363164901733,7,20,2,200,60
0.9996,0.9999995199999999,0.013460952788591385,0.6836,0.75779496,1.4475367069244385,8,15,2,200,60
0.995,0.9999833591373377,0.02568478137254715,0.7268,0.7934800940080734,1.090394139289856,8,15,2,200,60
1.0,1.0,0.00716677401214838,0.7556,0.8348355404425482,1.1828469038009644,8,15,2,200,60
0.9998,1.0,0.01444784365594387,0.6706,0.7390265139678694,1.3626959323883057,8,16,2,200,60
0.9996,0.9999993599995903,0.008230092003941536,0.7452,0.8183509237445913,1.1279163360595703,8,16,2,200,60
0.9992,1.0,0.01132515724748373,0.6972,0.7562706437778267,1.41294527053833,8,16,2,200,60
0.9996,1.0,0.011691962368786335,0.7446,0.8224180181154764,1.1243345737457275,8,17,2,200,60
0.9998,1.0,0.00947731826454401,0.693,0.7659011663628731,1.5666152238845825,8,17,2,200,60
0.9996,1.0,0.013619908131659031,0.6824,0.7487490999855999,1.3958525657653809,8,17,2,200,60
0.9992,1.0,0.013139680027961731,0.7254,0.8067482944738826,1.2138642072677612,8,18,2,200,60
0.9998,1.0,0.00894243735820055,0.6824,0.7381756107682731,1.501838207244873,8,18,2,200,60
0.9986,1.0,0.013736851513385773,0.6674,0.7457962255190829,1.468372106552124,8,18,2,200,60
0.999,0.9999963196608199,0.011132276616990566,0.7012,0.7673345575528241,1.3626728057861328,8,19,2,200,60
0.9996,1.0,0.00970812514424324,0.6552,0.7205834888581404,1.4949721097946167,8,19,2,200,60
0.9994,1.0,0.00811559334397316,0.7164,0.7849454915742832,1.302320957183838,8,19,2,200,60
0.998,0.9999545589530383,0.026817671954631805,0.6448,0.7118447209023696,1.550723671913147,8,20,2,200,60
